NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDAUT45,3,MULTI-CHART ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFuv5wfxsuoj7npmlo1n0a1vyy8f7f
FDAUT45,4,MULTI-CHART ACCOUNTS LINKS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFuv5wfxsuoj7npmlo1n0a1vyy8f7f
FDAUT46,1,STANDARD FUTURE CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgpzsfke5c3h1aefg3cwg8ru726gr
FDAUT46,2,STANDARD FUTURE CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgpzsfke5c3h1aefg3cwg8ru726gr
FDAUT46,3,STANDARD FUTURE CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgpzsfke5c3h1aefg3cwg8ru726gr
FDAUT46,5,STANDARD FUTURE CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgpzsfke5c3h1aefg3cwg8ru726gr
FDAUT47,1,STANDARD OPTION CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFllc94ny2vcj9h0qyyqxiq9wmk19h
FDAUT47,2,STANDARD OPTION CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFllc94ny2vcj9h0qyyqxiq9wmk19h
FDAUT47,4,STANDARD OPTION CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFllc94ny2vcj9h0qyyqxiq9wmk19h
FDAUT47,5,STANDARD OPTION CALCUL.RULES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFllc94ny2vcj9h0qyyqxiq9wmk19h
FDAUT48,1,CAMBIO ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFjwt5iyn5rw2qrzcra5flqrpxg1gz
FDAUT48,3,CAMBIO ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFjwt5iyn5rw2qrzcra5flqrpxg1gz
FDAUT48,4,CAMBIO ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFjwt5iyn5rw2qrzcra5flqrpxg1gz
FDAUT48,5,CAMBIO ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFjwt5iyn5rw2qrzcra5flqrpxg1gz
FDAUT49,2,OPERATION CODES DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFj7ewes4fb770belf7tjsttfjdvm9
FDAUT49,3,OPERATION CODES DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFj7ewes4fb770belf7tjsttfjdvm9
FDAUT49,4,OPERATION CODES DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFj7ewes4fb770belf7tjsttfjdvm9
FDAUT49,5,OPERATION CODES DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFj7ewes4fb770belf7tjsttfjdvm9
FDAUT50,1,NOT USED IN ACTUAL RELEASE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvxfp3tks65nm5wo7cbuiwjcw12zd
FDAUT50,2,NOT USED IN ACTUAL RELEASE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvxfp3tks65nm5wo7cbuiwjcw12zd
FDAUT50,3,NOT USED IN ACTUAL RELEASE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvxfp3tks65nm5wo7cbuiwjcw12zd
FDAUT50,4,NOT USED IN ACTUAL RELEASE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvxfp3tks65nm5wo7cbuiwjcw12zd
FDAUT50,5,NOT USED IN ACTUAL RELEASE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFvxfp3tks65nm5wo7cbuiwjcw12zd
FDAUT51,1,ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFb69ky5zq3ik2v9bj9mgijrjkioqn
FDAUT51,2,ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFb69ky5zq3ik2v9bj9mgijrjkioqn
FDAUT51,3,ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFb69ky5zq3ik2v9bj9mgijrjkioqn
FDAUT51,4,ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFb69ky5zq3ik2v9bj9mgijrjkioqn
FDAUT51,5,ACCOUNTS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFb69ky5zq3ik2v9bj9mgijrjkioqn
FDAUT52,1,MULTI-LANGUAGE ACCOUNTS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi6jpe026pttulwvhkp0h65i1nnvl
FDAUT52,3,MULTI-LANGUAGE ACCOUNTS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi6jpe026pttulwvhkp0h65i1nnvl
FDAUT52,4,MULTI-LANGUAGE ACCOUNTS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi6jpe026pttulwvhkp0h65i1nnvl
